username,Domain,crawl_type,author_signature,join_date,lastactive,totalposts,FetchTime,groups,reputation,credits,awards,rank,activetime,contactinfo,reference_url
Extern,forum.exetools.com,catchup,,0,1479554040, n/a,1541828432000,,,,,,"[ { ""year"": ""2016"",""month"": ""11"", ""dayofweek"": ""19"", ""hour"": ""11"", ""count"": "" n/a"" }]",,
lowtec,forum.exetools.com,catchup,,1480530600,1480995480, 10,1541828432000,Friend,0,,,,"[ { ""year"": ""2016"",""month"": ""12"", ""dayofweek"": ""6"", ""hour"": ""3"", ""count"": "" 10"" }]",,https://forum.exetools.com/member.php?u=37238
schrodyn,forum.exetools.com,catchup,,1480530600,1481454420, 10,1541828432000,Friend,0,,,,"[ { ""year"": ""2016"",""month"": ""12"", ""dayofweek"": ""11"", ""hour"": ""11"", ""count"": "" 10"" }]",,https://forum.exetools.com/member.php?u=37247
IceSickle,forum.exetools.com,catchup,,0,1483832940, n/a,1541828432000,,,,,,"[ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""7"", ""hour"": ""23"", ""count"": "" n/a"" }]",,
kronicd,forum.exetools.com,catchup,,1483209000,1484626020, 2,1541828432000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""17"", ""hour"": ""4"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37263
mrfearless,forum.exetools.com,catchup,,1483209000,1485011580, 5,1541828433000,Friend,5,,,,"[ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""21"", ""hour"": ""15"", ""count"": "" 5"" }]",,https://forum.exetools.com/member.php?u=37266
nixu,forum.exetools.com,catchup,,1483209000,1485448920, 5,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""26"", ""hour"": ""16"", ""count"": "" 5"" }]",,https://forum.exetools.com/member.php?u=37268
H4vC,forum.exetools.com,catchup,,1483209000,1485452340, 29,1541828434000,Friend,,,,,"[ { ""year"": ""2017"",""month"": ""1"", ""dayofweek"": ""26"", ""hour"": ""17"", ""count"": "" 29"" }]",,https://forum.exetools.com/member.php?u=37267
foil,forum.exetools.com,catchup,,1485887400,1486354560, 9,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""2"", ""dayofweek"": ""6"", ""hour"": ""4"", ""count"": "" 9"" }]",,https://forum.exetools.com/member.php?u=37270
Elesty,forum.exetools.com,catchup,,1485887400,1486354620, 9,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""2"", ""dayofweek"": ""6"", ""hour"": ""4"", ""count"": "" 9"" }]",,https://forum.exetools.com/member.php?u=37269
StaticReturn,forum.exetools.com,catchup,,1490985000,1491896400, 3,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""4"", ""dayofweek"": ""11"", ""hour"": ""7"", ""count"": "" 3"" }]",,https://forum.exetools.com/member.php?u=37294
Sterling0x1,forum.exetools.com,catchup,,1493577000,1494497160, 7,1541828434000,Friend,,,,,"[ { ""year"": ""2017"",""month"": ""5"", ""dayofweek"": ""11"", ""hour"": ""10"", ""count"": "" 7"" }]",,https://forum.exetools.com/member.php?u=37302
c0rin,forum.exetools.com,catchup,,1490985000,1495111560, 2,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""5"", ""dayofweek"": ""18"", ""hour"": ""12"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37297
cgrs,forum.exetools.com,catchup,,1493577000,1495298040, 3,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""5"", ""dayofweek"": ""20"", ""hour"": ""16"", ""count"": "" 3"" }]",,https://forum.exetools.com/member.php?u=37306
trellis,forum.exetools.com,catchup,,1493577000,1496140200, 2,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""5"", ""dayofweek"": ""30"", ""hour"": ""10"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37310
Yelawolf,forum.exetools.com,catchup,,1496255400,1497109200, 4,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""6"", ""dayofweek"": ""10"", ""hour"": ""15"", ""count"": "" 4"" }]",,https://forum.exetools.com/member.php?u=37316
zeffy,forum.exetools.com,catchup,,1498847400,1499326920, 14,1541828434000,Friend,3,,,,"[ { ""year"": ""2017"",""month"": ""7"", ""dayofweek"": ""6"", ""hour"": ""7"", ""count"": "" 14"" }]",,https://forum.exetools.com/member.php?u=37318
RiRye,forum.exetools.com,catchup,,1488306600,1500508560, 11,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""7"", ""dayofweek"": ""19"", ""hour"": ""23"", ""count"": "" 11"" }]",,https://forum.exetools.com/member.php?u=37288
lowlyw,forum.exetools.com,catchup,,1504204200,1505615280, 1,1541828434000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""9"", ""dayofweek"": ""17"", ""hour"": ""2"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37339
tcsh,forum.exetools.com,catchup,,1509474600,1509626460, 1,1541828436000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""11"", ""dayofweek"": ""2"", ""hour"": ""12"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37373
Dicypher,forum.exetools.com,catchup,,1509474600,1511427360, 2,1541828436000,Friend,,,,,"[ { ""year"": ""2017"",""month"": ""11"", ""dayofweek"": ""23"", ""hour"": ""8"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37385
ilikenwf,forum.exetools.com,catchup,,1512066600,1513568880, 3,1541828436000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""12"", ""dayofweek"": ""18"", ""hour"": ""3"", ""count"": "" 3"" }]",,https://forum.exetools.com/member.php?u=37404
Zeokat,forum.exetools.com,catchup,,1512066600,1514004360, 8,1541828436000,Friend,0,,,,"[ { ""year"": ""2017"",""month"": ""12"", ""dayofweek"": ""23"", ""hour"": ""4"", ""count"": "" 8"" }]",,https://forum.exetools.com/member.php?u=37409
unknownqx,forum.exetools.com,catchup,,1514745000,1515178620, 1,1541828436000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""1"", ""dayofweek"": ""5"", ""hour"": ""18"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37414
Antitrack,forum.exetools.com,catchup,,1514745000,1516804380, 2,1541828436000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""1"", ""dayofweek"": ""24"", ""hour"": ""14"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37425
Agmcz,forum.exetools.com,catchup,,1519842600,1520455980, 15,1541828436000,Friend,4,,,,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""7"", ""hour"": ""20"", ""count"": "" 15"" }]",,https://forum.exetools.com/member.php?u=37456
dj-siba,forum.exetools.com,catchup,,1054405800,1520518800, 318,1541828436000,Musician Member,43,,,,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""8"", ""hour"": ""14"", ""count"": "" 318"" }]",,https://forum.exetools.com/member.php?u=8989
0xall0c,forum.exetools.com,catchup,,1519842600,1521213180, 23,1541828436000,Friend,2,,,,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""16"", ""hour"": ""15"", ""count"": "" 23"" }]",,https://forum.exetools.com/member.php?u=37463
seaking,forum.exetools.com,catchup,,1519842600,1522074180, 1,1541828436000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""3"", ""dayofweek"": ""26"", ""hour"": ""14"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37468
dosprog,forum.exetools.com,catchup,,1517423400,1526006040, 60,1541828437000,Friend,7,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""11"", ""hour"": ""2"", ""count"": "" 60"" }]",,https://forum.exetools.com/member.php?u=37439
kallegaul,forum.exetools.com,catchup,,1522521000,1523377320, 2,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""4"", ""dayofweek"": ""10"", ""hour"": ""16"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37482
birt,forum.exetools.com,catchup,,1522521000,1525988340, 3,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""10"", ""hour"": ""21"", ""count"": "" 3"" }]",,https://forum.exetools.com/member.php?u=37489
x000x,forum.exetools.com,catchup,,1522521000,1525134780, 4,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""1"", ""hour"": ""0"", ""count"": "" 4"" }]",,https://forum.exetools.com/member.php?u=37494
Crudd[RET],forum.exetools.com,catchup,,1091298600,1525838640, 28,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""5"", ""dayofweek"": ""9"", ""hour"": ""4"", ""count"": "" 28"" }]",,https://forum.exetools.com/member.php?u=15542
bytewolf,forum.exetools.com,catchup,,1527791400,1529446620, 1,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""6"", ""dayofweek"": ""19"", ""hour"": ""22"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37525
DavidXanatos,forum.exetools.com,catchup,,1527791400,1530224700, 19,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""6"", ""dayofweek"": ""28"", ""hour"": ""22"", ""count"": "" 19"" }]",,https://forum.exetools.com/member.php?u=37528
nir,forum.exetools.com,catchup,,1530383400,1532089260, 3,1541828437000,Friend,3,,,,"[ { ""year"": ""2018"",""month"": ""7"", ""dayofweek"": ""20"", ""hour"": ""12"", ""count"": "" 3"" }]",,https://forum.exetools.com/member.php?u=37551
icscrew,forum.exetools.com,catchup,,1533061800,1534127340, 1,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""13"", ""hour"": ""2"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37568
Chuck954,forum.exetools.com,catchup,,1530383400,1534700880, 14,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""19"", ""hour"": ""17"", ""count"": "" 14"" }]",,https://forum.exetools.com/member.php?u=37561
HarrySpoofer,forum.exetools.com,catchup,,1530383400,1534865460, 4,1541828437000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""8"", ""dayofweek"": ""21"", ""hour"": ""15"", ""count"": "" 4"" }]",,https://forum.exetools.com/member.php?u=37546
Roy25,forum.exetools.com,catchup,,1535740200,1537349880, 2,1541828438000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""19"", ""hour"": ""9"", ""count"": "" 2"" }]",,https://forum.exetools.com/member.php?u=37589
freddyk,forum.exetools.com,catchup,,1535740200,1537448400, 1,1541828438000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""20"", ""hour"": ""13"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37585
darknessxk,forum.exetools.com,catchup,,1535740200,1537558320, 1,1541828438000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""9"", ""dayofweek"": ""21"", ""hour"": ""19"", ""count"": "" 1"" }]",,https://forum.exetools.com/member.php?u=37595
wild,forum.exetools.com,catchup,,1506796200,1539246780, 7,1541828438000,Friend,0,,,,"[ { ""year"": ""2018"",""month"": ""10"", ""dayofweek"": ""11"", ""hour"": ""8"", ""count"": "" 7"" }]",,https://forum.exetools.com/member.php?u=37362
